Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,14.5,-18.5,90,bottom
C3,10uF,C_1206_3216Metric,37,37,90,bottom
C4,10uF,C_1206_3216Metric,-10,-38,90,bottom
C5,10uF,C_1206_3216Metric,-37.5,-16.5,90,bottom
C6,10uF,C_1206_3216Metric,-19,-38,90,bottom
C7,1uF,C_0805_2012Metric,-33.5,-33,270,bottom
C10,1uF,C_0805_2012Metric,33.2,24,180,bottom
C11,1uF,C_0805_2012Metric,37,22,180,bottom
C20,0.1uF,C_0805_2012Metric,33.5,-17.5,0,bottom
C21,0.1uF,C_0805_2012Metric,17,-23,90,bottom
C23,1uF,C_0805_2012Metric,-35.9375,37,180,bottom
C29,0.1uF,C_0805_2012Metric,30,-13.3,90,bottom
C70,1uF,C_0805_2012Metric,17,-18.5,90,bottom
C71,1uF,C_0805_2012Metric,17.5,-13.3,90,bottom
C72,1uF,C_0805_2012Metric,20,-13.3,90,bottom
C73,1uF,C_0805_2012Metric,22.5,-13.3,90,bottom
C74,1uF,C_0805_2012Metric,25,-13.3,90,bottom
C75,1uF,C_0805_2012Metric,27.5,-13.3,90,bottom
C76,1uF,C_0805_2012Metric,14.5,-23,90,bottom
C91,0.1uF,C_0805_2012Metric,18,28,90,bottom
C92,0.1uF,C_0805_2012Metric,18,32,90,bottom
C93,0.1uF,C_0805_2012Metric,32,28,90,bottom
C94,0.1uF,C_0805_2012Metric,18,36,90,bottom
D1,D,D_SMC,-34,-27,0,bottom
D5,D,D_SMA,-29,-18,270,bottom
D10,D_Zener,D_SMB,4.65,-17,180,bottom
D13,D,D_SMA,-14.3,-31.5,270,bottom
D14,D,D_SMA,-4.7,-31.5,270,bottom
D18,red,LED_0805_2012Metric,-37,-38.5,180,bottom
D29,green,LED_0805_2012Metric,-13,-14.5625,90,bottom
D30,D,D_SMA,30,2,0,bottom
D31,D,D_SMA,20,2,0,bottom
D32,D,D_SMA,10,2,0,bottom
D33,D,D_SMA,0,2,0,bottom
D34,D,D_SMA,-10,2,0,bottom
D35,D,D_SMA,-20,2,0,bottom
D36,D,D_SMA,-30,2,0,bottom
D88,D,D_SMA,-30,-7,270,bottom
D89,D,D_SMC,-20,-15,180,bottom
D91,amber,LED_0805_2012Metric,32,32.0625,90,bottom
Q21,S8050,SOT-23,-8.5,-14.5,180,bottom
R3,150K,R_0805_2012Metric,10,-8.5,180,bottom
R5,3.3K,R_0805_2012Metric,10,-11.5,0,bottom
R13,220,R_0805_2012Metric,-22.5,-25,270,bottom
R14,220,R_0805_2012Metric,-9.5,-25.5,90,bottom
R15,220,R_0805_2012Metric,3.5,-24.5,270,bottom
R18,220,R_0805_2012Metric,-37,-35.5,180,bottom
R22,10K,R_0805_2012Metric,-8.5625,-18.5,0,bottom
R28,470,R_0805_2012Metric,-9.5,-10,180,bottom
R29,1K,R_0805_2012Metric,-4,-16.5,180,bottom
R30,100,R_1206_3216Metric,30,9,270,bottom
R31,100,R_1206_3216Metric,19.8,9.2,270,bottom
R32,100,R_1206_3216Metric,10,9,270,bottom
R33,100,R_1206_3216Metric,0,9,270,bottom
R34,100,R_1206_3216Metric,-10,9,270,bottom
R35,100,R_1206_3216Metric,-20,9,270,bottom
R36,100,R_1206_3216Metric,-29.5,9,270,bottom
R40,100K,R_0805_2012Metric,10,28,180,bottom
R41,100K,R_0805_2012Metric,3,28,180,bottom
R42,68K,R_0805_2012Metric,-4,28,0,bottom
R43,47K,R_0805_2012Metric,-11,28,0,bottom
R44,33K,R_0805_2012Metric,-18,28,0,bottom
R45,22K,R_0805_2012Metric,-25,28,0,bottom
R50,47K,R_0805_2012Metric,9.9375,31,0,bottom
R51,22K,R_0805_2012Metric,3,31,0,bottom
R52,22K,R_0805_2012Metric,-4,31,0,bottom
R53,4K7,R_0805_2012Metric,-11,31,0,bottom
R54,6K8,R_0805_2012Metric,-18,31,0,bottom
R55,2K2,R_0805_2012Metric,-25,31,0,bottom
R60,22K,R_0805_2012Metric,10,34,0,bottom
R61,33K,R_0805_2012Metric,3,34,0,bottom
R62,68K,R_0805_2012Metric,-4,34,0,bottom
R63,68K,R_0805_2012Metric,-11,34,0,bottom
R64,100K,R_0805_2012Metric,-18,34,0,bottom
R65,150K,R_0805_2012Metric,-25,34,0,bottom
R66,220K,R_0805_2012Metric,-30,29,90,bottom
R70,3K3,R_0805_2012Metric,10,37,180,bottom
R71,3K3,R_0805_2012Metric,3.0375,37,180,bottom
R72,3K3,R_0805_2012Metric,-4,37,180,bottom
R73,3K3,R_0805_2012Metric,-11,37,180,bottom
R74,3K3,R_0805_2012Metric,-18,37,180,bottom
R75,3K3,R_0805_2012Metric,-25,37,180,bottom
R76,3K3,R_0805_2012Metric,-30,36,90,bottom
R78,27,R_0805_2012Metric,22.5,-34,90,bottom
R79,27,R_0805_2012Metric,25,-34,90,bottom
R80,220,R_0805_2012Metric,24.4,19.2625,90,bottom
R81,220,R_0805_2012Metric,14.3,19.2625,90,bottom
R82,220,R_0805_2012Metric,4.6,19.2625,90,bottom
R83,220,R_0805_2012Metric,-5.4,19.1625,90,bottom
R84,220,R_0805_2012Metric,-15.6,19.2,90,bottom
R85,220,R_0805_2012Metric,-25.6,19.1625,90,bottom
R86,220,R_0805_2012Metric,-35.9,19,90,bottom
R89,220,R_0805_2012Metric,-36,14,270,bottom
R91,220,R_0805_2012Metric,32,36,270,bottom
U20,ATmega328-AU,TQFP-32_7x7mm_P0.8mm,25,-22,180,bottom
U30,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,29,17,270,bottom
U31,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,19,17,270,bottom
U32,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,9,17,270,bottom
U33,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,-1,17,270,bottom
U34,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,-11,17,270,bottom
U35,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,-21,17,270,bottom
U36,opto_coupler_EL357N(B)(TA)-G,SOP-4_4.1x4.4x2.54P,-31,17,270,bottom
U90,MAX232,SOIC-16_3.9x9.9mm_P1.27mm,25.27,32.4,0,bottom
