Comment,Designator,Footprint,LCSC
"1uF","C1,C7,C10,C11,C23,C70,C71,C72,C73,C74,C75,C76","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C20,C21,C29,C91,C92,C93,C94","Capacitor_SMD:C_0805_2012Metric",""
"CP","C30,C31,C32,C33,C34,C35,C36","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"10uF","C3,C4,C5,C6","Capacitor_SMD:C_1206_3216Metric",""
"D_Zener","D10","Diode_SMD:D_SMB",""
"red","D18","LED_SMD:LED_0805_2012Metric",""
"green","D29","LED_SMD:LED_0805_2012Metric",""
"D","D5,D13,D14,D30,D31,D32,D33,D34,D35,D36,D88","Diode_SMD:D_SMA",""
"D","D1,D89","Diode_SMD:D_SMC",""
"amber","D91","LED_SMD:LED_0805_2012Metric",""
"Fuse-Device","F1","eit_footprints:Varistor_RV_Disc_D9mm_W5.7mm_P5mm",""
"Conn_01x02","J10,J11,J13,J14,J15","eit_footprints:connector_TE_Connectivity_2_pin",""
"connector_10pin_ISP_Console","J20","eit_footprints:connector_10pin_TC2050-IDC-NL",""
"Conn_01x02","J22","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",""
"Conn_02x03_Odd_Even","J3","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x04","J79","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"Conn_01x05","J90","Connector_Molex:Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical",""
"S8050","Q21","Package_TO_SOT_SMD:SOT-23",""
"10K","R22","Resistor_SMD:R_0805_2012Metric",""
"470","R28","Resistor_SMD:R_0805_2012Metric",""
"1K","R29","Resistor_SMD:R_0805_2012Metric",""
"100","R30,R31,R32,R33,R34,R35,R36","Resistor_SMD:R_1206_3216Metric",""
"47K","R43,R50","Resistor_SMD:R_0805_2012Metric",""
"3.3K","R5","Resistor_SMD:R_0805_2012Metric",""
"4K7","R53","Resistor_SMD:R_0805_2012Metric",""
"6K8","R54","Resistor_SMD:R_0805_2012Metric",""
"2K2","R55","Resistor_SMD:R_0805_2012Metric",""
"22K","R45,R51,R52,R60","Resistor_SMD:R_0805_2012Metric",""
"33K","R44,R61","Resistor_SMD:R_0805_2012Metric",""
"68K","R42,R62,R63","Resistor_SMD:R_0805_2012Metric",""
"100K","R40,R41,R64","Resistor_SMD:R_0805_2012Metric",""
"150K","R3,R65","Resistor_SMD:R_0805_2012Metric",""
"220K","R66","Resistor_SMD:R_0805_2012Metric",""
"3K3","R70,R71,R72,R73,R74,R75,R76","Resistor_SMD:R_0805_2012Metric",""
"27","R78,R79","Resistor_SMD:R_0805_2012Metric",""
"220","R13,R14,R15,R18,R80,R81,R82,R83,R84,R85,R86,R89,R91","Resistor_SMD:R_0805_2012Metric",""
"33 Ohm, >=10 W","R88","eit_footprints:TO-220-2_with_heatsink_V8508B",""
"3.3 Volt","U10","eit_footprints:DC-DC-Recom-R78",""
"ATmega328-AU","U20","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"opto_coupler_EL357N(B)(TA)-G","U30,U31,U32,U33,U34,U35,U36","eit_footprints:SOP-4_4.1x4.4x2.54P",""
"TLP222A","U13,U14,U15,U89","Package_DIP:DIP-4_W7.62mm",""
"MAX232","U90","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"Crystal_GND2","Y20","Crystal:Resonator-3Pin_W7.0mm_H2.5mm",""
